"ID","Player","Team","Position","RkOv","Status","Score","Ros","+/-","MIN","FGA","FG%","3PTM","3PTA","FTA","FT%","PTS","REB","AST","ST","BLK","TO"
"*05qzh*","Naji Marshall","DAL","SG,G,SF,PF,F","86","KLU","77.82","78%","0%","29.6","10.9",".520","0.9","2.8","4.1",".762","15.3","4.8","3.2","1.0","0.1","1.6"
"*05uiz*","Quentin Grimes","PHI","SG,G,SF,F","87","Pingud","77.72","90%","+1%","30.1","10.3",".451","1.8","5.3","3.4",".837","13.9","3.7","3.4","0.9","0.4","1.9"
"*05ujd*","Neemias Queta","BOS","C","88","Pingud","77.55","88%","0%","25.1","6.5",".637","0.0","0.1","2.3",".699","9.8","8.3","1.5","0.9","1.3","1.1"
"*051os*","P.J. Washington","DAL","SF,PF,F,C","89","PH","77.54","93%","+1%","31.0","11.9",".446","1.4","4.2","3.4",".689","14.3","7.0","1.8","1.0","1.1","1.8"
"*06v5g*","Jeremiah Fears","NO","PG,G","90","FA","77.32","69%","-3%","24.9","11.5",".426","1.1","3.4","2.5",".792","13.0","3.6","3.2","1.1","0.3","2.2"
"*06ccd*","Noah Clowney","BKN","PF,F,C","91","FA","77.16","56%","-8%","27.3","9.7",".396","2.0","6.0","3.5",".804","12.5","4.1","1.7","0.7","0.7","1.5"
"*05uus*","Austin Reaves","LAL","PG,SG,G,SF,F","92","VICE","77.07","100%","0%","34.5","15.2",".494","2.4","6.5","7.2",".866","23.5","4.8","5.5","1.1","0.4","2.9"
"*04jwd*","Royce O'Neale","PHO","SF,PF,F","93","€$¥","76.43","63%","-1%","29.1","8.3",".416","2.8","6.8","0.4",".700","9.9","4.8","2.8","1.1","0.4","1.4"
"*03aq2*","Jerami Grant","POR","SF,PF,F","94","Pingud","76.23","86%","0%","29.9","12.8",".453","2.4","6.1","5.6",".816","18.6","3.5","2.2","0.7","0.6","2.1"
"*04ewu*","Josh Hart","NY","SG,G,SF,F","95","SaareKar","76.16","99%","0%","29.9","9.2",".507","1.5","3.7","1.9",".718","12.2","7.6","5.0","1.1","0.3","1.9"
"*01enh*","Stephen Curry","GS","PG,G","96","PH","75.88","97%","-1%","31.3","19.1",".468","4.5","11.5","5.2",".931","27.2","3.5","4.8","1.1","0.4","2.8"
"*031mb*","Tim Hardaway","DEN","SG,G,SF,F","97","FA","75.87","51%","+1%","27.0","9.9",".450","2.8","6.9","2.5",".814","13.8","2.6","1.4","0.5","0.1","0.6"
"*051oh*","Zion Williamson","NO","SF,PF,F","98","MCL","75.81","99%","0%","29.7","13.3",".598","0.0","0.1","7.5",".711","21.3","5.8","3.3","1.0","0.5","2.1"
